name,action probability,planned,used planner,used plan lib,time planning,time checking plan lib,total time,plan lib size
problem_office_06.pddl,0.7,32,27,5,50.49344444274902,0.11885547637939453,50.61229991912842,28
problem_office_06.pddl,0.7,26,14,12,10.905540227890015,0.15658211708068848,11.062122344970703,42
problem_office_06.pddl,0.7,35,21,14,17.05353093147278,0.3284952640533447,17.382026195526127,63
problem_office_06.pddl,0.7,37,23,14,17.646866321563717,0.4220349788665772,18.068901300430298,86
problem_office_06.pddl,0.7,34,8,26,3.111643552780152,0.35124564170837397,3.4628891944885254,94
problem_office_06.pddl,0.7,24,13,11,13.857722759246824,0.3279182910919189,14.185641050338745,107
problem_office_06.pddl,0.7,35,14,21,8.129922866821289,0.5354118347167969,8.665334701538086,121
problem_office_06.pddl,0.7,27,12,15,5.544816732406616,0.4361321926116944,5.980948925018311,133
problem_office_06.pddl,0.7,24,7,17,4.243887662887573,0.3675346374511719,4.611422300338745,140
problem_office_06.pddl,0.7,48,11,37,3.7830543518066406,0.9440150260925292,4.72706937789917,151
problem_office_06.pddl,0.7,38,15,23,6.922050952911378,0.6459734439849854,7.568024396896362,166
problem_office_06.pddl,0.7,44,16,28,4.9756808280944815,0.9900393486022948,5.965720176696777,182
problem_office_06.pddl,0.7,23,8,15,5.157010078430176,0.4080989360809326,5.565109014511108,190
problem_office_06.pddl,0.7,32,7,25,2.527865171432495,0.622758150100708,3.150623321533203,197
problem_office_06.pddl,0.7,21,3,18,0.4330329895019531,0.383202075958252,0.8162350654602051,200
problem_office_06.pddl,0.7,39,5,34,1.810906171798706,0.6781284809112549,2.489034652709961,205
problem_office_06.pddl,0.7,18,5,13,1.4896931648254397,0.36351895332336426,1.853212118148804,210
problem_office_06.pddl,0.7,28,6,22,1.6215877532958984,0.5375871658325195,2.1591749191284184,216
problem_office_06.pddl,0.7,26,8,18,2.9469912052154537,0.5424940586090088,3.489485263824463,224
problem_office_06.pddl,0.7,24,2,22,0.2983968257904053,0.4701921939849854,0.7685890197753906,226
problem_office_06.pddl,0.7,33,4,29,1.3505940437316897,0.7716250419616699,2.12221908569336,230
problem_office_06.pddl,0.7,28,10,18,6.033720254898071,0.7511992454528809,6.784919500350952,240
problem_office_06.pddl,0.7,28,8,20,2.949347257614136,0.7921762466430664,3.7415235042572017,248
problem_office_06.pddl,0.7,29,14,15,7.139017820358276,0.6859581470489502,7.8249759674072275,262
problem_office_06.pddl,0.7,35,11,24,2.305677890777588,1.0920331478118896,3.397711038589477,273
problem_office_06.pddl,0.7,31,7,24,2.099007368087769,0.8840615749359131,2.9830689430236816,280
problem_office_06.pddl,0.7,24,13,11,7.006956338882446,0.9259557723999025,7.932912111282349,293
problem_office_06.pddl,0.7,32,8,24,4.3337440490722665,0.9257423877716064,5.259486436843872,301
problem_office_06.pddl,0.7,31,5,26,3.265002012252808,0.6080348491668701,3.8730368614196777,306
problem_office_06.pddl,0.7,20,3,17,1.603271245956421,0.666898250579834,2.270169496536255,309
problem_office_06.pddl,0.7,19,8,11,2.7907254695892334,0.6712086200714111,3.4619340896606445,317
problem_office_06.pddl,0.7,33,7,26,1.3602056503295898,0.976470947265625,2.336676597595215,324
problem_office_06.pddl,0.7,28,10,18,2.794433116912842,1.0826826095581057,3.8771157264709473,334
problem_office_06.pddl,0.7,32,13,19,5.2942869663238525,1.2474024295806885,6.541689395904541,347
problem_office_06.pddl,0.7,47,12,35,3.77963924407959,1.5158989429473877,5.2955381870269775,359
problem_office_06.pddl,0.7,33,4,29,1.5621562004089355,0.8751826286315918,2.4373388290405282,363
problem_office_06.pddl,0.7,22,2,20,0.27738380432128906,0.5799412727355957,0.8573250770568848,365
problem_office_06.pddl,0.7,26,8,18,3.147139072418213,0.8022687435150146,3.949407815933228,373
problem_office_06.pddl,0.7,23,1,22,0.20940518379211426,0.63926100730896,0.8486661911010742,374
problem_office_06.pddl,0.7,25,7,18,0.94537091255188,1.1355359554290771,2.0809068679809566,381
problem_office_06.pddl,0.6,56,42,14,48.485895872116096,0.28318428993225103,48.76908016204834,43
problem_office_06.pddl,0.6,50,26,24,31.27137398719788,0.4111459255218506,31.68251991271973,69
problem_office_06.pddl,0.6,49,22,27,29.365434408187863,0.5423414707183838,29.90777587890625,91
problem_office_06.pddl,0.6,52,20,32,18.99345850944519,0.6795182228088379,19.672976732254032,111
problem_office_06.pddl,0.6,51,22,29,11.211108684539797,0.7044920921325684,11.915600776672365,133
problem_office_06.pddl,0.6,46,20,26,19.250837802886966,0.8225953578948975,20.07343316078186,153
problem_office_06.pddl,0.6,38,12,26,5.511826992034912,0.6661896705627441,6.178016662597656,165
problem_office_06.pddl,0.6,48,14,34,8.407469749450684,0.9773843288421632,9.384854078292848,179
problem_office_06.pddl,0.6,52,13,39,4.9313316345214835,0.9188644886016846,5.850196123123169,192
problem_office_06.pddl,0.6,47,20,27,10.674854516983034,1.1123547554016109,11.787209272384644,212
problem_office_06.pddl,0.6,57,14,43,3.3398654460906982,1.4167425632476809,4.756608009338379,226
problem_office_06.pddl,0.6,63,21,42,11.052589178085327,1.6018509864807131,12.65444016456604,247
problem_office_06.pddl,0.6,69,10,59,4.7375619411468515,1.6849861145019531,6.422548055648804,257
problem_office_06.pddl,0.6,53,18,35,4.630844354629517,1.6899991035461426,6.320843458175659,275
problem_office_06.pddl,0.6,39,16,23,5.189437389373778,1.252516269683838,6.441953659057617,291
problem_office_06.pddl,0.6,58,12,46,8.284674882888794,1.6444587707519531,9.929133653640749,303
problem_office_06.pddl,0.6,47,11,36,2.4169695377349854,1.4676454067230225,3.8846149444580083,314
problem_office_06.pddl,0.6,49,18,31,7.282392501831055,1.707085371017456,8.989477872848509,332
problem_office_06.pddl,0.6,38,13,25,1.99385404586792,1.300159215927124,3.294013261795044,345
problem_office_06.pddl,0.6,22,0,22,0.0,0.5795366764068604,0.5795366764068604,345
problem_office_06.pddl,0.6,53,9,44,2.9471530914306636,1.6696679592132568,4.616821050643921,354
problem_office_06.pddl,0.6,45,14,31,5.994659185409546,1.8108417987823489,7.8055009841918945,368
problem_office_06.pddl,0.6,50,11,39,5.9507272243499765,2.0099837779998784,7.960711002349853,379
problem_office_06.pddl,0.6,67,19,48,10.968101739883423,2.385138988494873,13.353240728378296,398
